BRESCIA;BRANDICO
BERGAMO;BRANZI
BRESCIA;BRAONE
VARESE;BREBBIA
VARESE;BREGANO
COMO;BREGNANO
BERGAMO;BREMBATE
BERGAMO;BREMBATE DI SOPRA
LODI;BREMBIO
PAVIA;BREME
COMO;BRENNA
BRESCIA;BRENO
VARESE;BRENTA
BRESCIA;BRESCIA
PAVIA;BRESSANA BOTTARONE
MILANO;BRESSO
VARESE;BREZZO DI BEDERO
COMO;BRIENNO
BERGAMO;BRIGNANO GERA D'ADDA
VARESE;BRINZIO
BRESCIA;BRIONE
MONZA E BRIANZA;BRIOSCO
VARESE;BRISSAGO-VALTRAVAGLIA
LECCO;BRIVIO
PAVIA;BRONI
MONZA E BRIANZA;BRUGHERIO
BERGAMO;BRUMANO
COMO;BRUNATE
VARESE;BRUNELLO
BERGAMO;BRUSAPORTO
VARESE;BRUSIMPIANO
MILANO;BUBBIANO
MILANO;BUCCINASCO
SONDRIO;BUGLIO IN MONTE
VARESE;BUGUGGIATE
LECCO;BULCIAGO
COMO;BULGAROGRASSO
MONZA E BRIANZA;BURAGO DI MOLGORA
MILANO;BUSCATE
MONZA E BRIANZA;BUSNAGO
MILANO;BUSSERO
VARESE;BUSTO ARSIZIO
MILANO;BUSTO GAROLFO
CREMONA;CA' D'ANDREA
COMO;CABIATE
VARESE;CADEGLIANO-VICONAGO
COMO;CADORAGO
VARESE;CADREZZATE
COMO;CAGLIO
COMO;CAGNO
BRESCIA;CAINO
SONDRIO;CAIOLO
VARESE;CAIRATE
BERGAMO;CALCINATE
BRESCIA;CALCINATO
BERGAMO;CALCIO
LECCO;CALCO
LECCO;CALOLZIOCORTE
BERGAMO;CALUSCO D'ADDA
BRESCIA;CALVAGESE DELLA RIVIERA
CREMONA;CALVATONE
BERGAMO;CALVENZANO
PAVIA;CALVIGNANO
MILANO;CALVIGNASCO
BRESCIA;CALVISANO
MILANO;CAMBIAGO
BERGAMO;CAMERATA CORNELLO
CREMONA;CAMISANO
CREMONA;CAMPAGNOLA CREMASCA
MONZA E BRIANZA;CAMPARADA
COMO;CAMPIONE D'ITALIA
SONDRIO;CAMPODOLCINO
PAVIA;CAMPOSPINOSO
PAVIA;CANDIA LOMELLINA
MILANO;CANEGRATE
PAVIA;CANEVINO
PAVIA;CANNETO PAVESE
MANTOVA;CANNETO SULL'OGLIO
BERGAMO;CANONICA D'ADDA
VARESE;CANTELLO
COMO;CANTÙ
COMO;CANZO
CREMONA;CAPERGNANICA
COMO;CAPIAGO INTIMIANO
BERGAMO;CAPIZZONE
BRESCIA;CAPO DI PONTE
MONZA E BRIANZA;CAPONAGO
BRESCIA;CAPOVALLE
CREMONA;CAPPELLA CANTONE
CREMONA;CAPPELLA DE' PICENARDI
CREMONA;CAPRALBA
BRESCIA;CAPRIANO DEL COLLE
BERGAMO;CAPRIATE SAN GERVASIO
BERGAMO;CAPRINO BERGAMASCO
BRESCIA;CAPRIOLO
MONZA E BRIANZA;CARATE BRIANZA
COMO;CARATE URIO
BERGAMO;CARAVAGGIO
VARESE;CARAVATE
PAVIA;CARBONARA AL TICINO
MANTOVA;CARBONARA DI PO
COMO;CARBONATE
VARESE;CARDANO AL CAMPO
LECCO;CARENNO
COMO;CARIMATE
COMO;CARLAZZO
VARESE;CARNAGO
MONZA E BRIANZA;CARNATE
BERGAMO;CAROBBIO DEGLI ANGELI
BERGAMO;CARONA
VARESE;CARONNO PERTUSELLA
VARESE;CARONNO VARESINO
BRESCIA;CARPENEDOLO
MILANO;CARPIANO
MILANO;CARUGATE
COMO;CARUGO
BERGAMO;CARVICO
CREMONA;CASALBUTTANO ED UNITI
CREMONA;CASALE CREMASCO-VIDOLASCO
VARESE;CASALE LITTA
CREMONA;CASALETTO CEREDANO
CREMONA;CASALETTO DI SOPRA
LODI;CASALETTO LODIGIANO
CREMONA;CASALETTO VAPRIO
CREMONA;CASALMAGGIORE
LODI;CASALMAIOCCO
CREMONA;CASALMORANO
MANTOVA;CASALMORO
MANTOVA;CASALOLDO
LODI;CASALPUSTERLENGO
MANTOVA;CASALROMANO
VARESE;CASALZUIGNO
PAVIA;CASANOVA LONATI
LECCO;CASARGO
MILANO;CASARILE
LECCO;CASATENOVO
PAVIA;CASATISMA
BERGAMO;CASAZZA
VARESE;CASCIAGO
PAVIA;CASEI GEROLA
LODI;CASELLE LANDI
LODI;CASELLE LURANI
BERGAMO;CASIRATE D'ADDA
COMO;CASLINO D'ERBA
COMO;CASNATE CON BERNATE
BERGAMO;CASNIGO
PAVIA;CASORATE PRIMO
VARESE;CASORATE SEMPIONE
MILANO;CASOREZZO
SONDRIO;CASPOGGIO
LECCO;CASSAGO BRIANZA
MILANO;CASSANO D'ADDA
VARESE;CASSANO MAGNAGO
VARESE;CASSANO VALCUVIA
BERGAMO;CASSIGLIO
MILANO;CASSINA DE' PECCHI
COMO;CASSINA RIZZARDI
LECCO;CASSINA VALSASSINA
MILANO;CASSINETTA DI LUGAGNANO
PAVIA;CASSOLNOVO
PAVIA;CASTANA
MILANO;CASTANO PRIMO
PAVIA;CASTEGGIO
BRESCIA;CASTEGNATO
MANTOVA;CASTEL D'ARIO
CREMONA;CASTEL GABBIANO
MANTOVA;CASTEL GOFFREDO
BRESCIA;CASTEL MELLA
BERGAMO;CASTEL ROZZONE
MANTOVA;CASTELBELFORTE
BRESCIA;CASTELCOVATI
CREMONA;CASTELDIDONE
LODI;CASTELGERUNDO
VARESE;CASTELLANZA
CREMONA;CASTELLEONE
PAVIA;CASTELLETTO DI BRANDUZZO
BERGAMO;CASTELLI CALEPIO
VARESE;CASTELLO CABIAGLIO
PAVIA;CASTELLO D'AGOGNA
SONDRIO;CASTELLO DELL'ACQUA
LECCO;CASTELLO DI BRIANZA
MANTOVA;CASTELLUCCHIO
COMO;CASTELMARTE
PAVIA;CASTELNOVETTO
LODI;CASTELNUOVO BOCCA D'ADDA
COMO;CASTELNUOVO BOZZENTE
VARESE;CASTELSEPRIO
VARESE;CASTELVECCANA
CREMONA;CASTELVERDE
CREMONA;CASTELVISCONTI
BRESCIA;CASTENEDOLO
LODI;CASTIGLIONE D'ADDA
MANTOVA;CASTIGLIONE DELLE STIVIERE
VARESE;CASTIGLIONE OLONA
SONDRIO;CASTIONE ANDEVENNO
BERGAMO;CASTIONE DELLA PRESOLANA
LODI;CASTIRAGA VIDARDO
BRESCIA;CASTO
BRESCIA;CASTREZZATO
BERGAMO;CASTRO
VARESE;CASTRONNO
PAVIA;CAVA MANARA
COMO;CAVARGNA
VARESE;CAVARIA CON PREMEZZO
LODI;CAVENAGO D'ADDA
MONZA E BRIANZA;CAVENAGO DI BRIANZA
BERGAMO;CAVERNAGO
MANTOVA;CAVRIANA
VARESE;CAZZAGO BRABBIA
BRESCIA;CAZZAGO SAN MARTINO
BERGAMO;CAZZANO SANT'ANDREA
PAVIA;CECIMA
BRESCIA;CEDEGOLO
SONDRIO;CEDRASCO
CREMONA;CELLA DATI
BRESCIA;CELLATICA
BERGAMO;CENATE SOPRA
BERGAMO;CENATE SOTTO
BERGAMO;CENE
COMO;CENTRO VALLE INTELVI
COMO;CERANO D'INTELVI
PAVIA;CERANOVA
SONDRIO;CERCINO
MANTOVA;CERESARA
BERGAMO;CERETE
PAVIA;CERETTO LOMELLINA
PAVIA;CERGNAGO
MONZA E BRIANZA;CERIANO LAGHETTO
COMO;CERMENATE
COMO;CERNOBBIO
LECCO;CERNUSCO LOMBARDONE
MILANO;CERNUSCO SUL NAVIGLIO
MILANO;CERRO AL LAMBRO
MILANO;CERRO MAGGIORE
PAVIA;CERTOSA DI PAVIA
BRESCIA;CERVENO
PAVIA;CERVESINA
LODI;CERVIGNANO D'ADDA
LECCO;CESANA BRIANZA
MILANO;CESANO BOSCONE
MONZA E BRIANZA;CESANO MADERNO
MILANO;CESATE
BRESCIA;CETO
BRESCIA;CEVO
BRESCIA;CHIARI
SONDRIO;CHIAVENNA
SONDRIO;CHIESA IN VALMALENCO
CREMONA;CHIEVE
BERGAMO;CHIGNOLO D'ISOLA
PAVIA;CHIGNOLO PO
BERGAMO;CHIUDUNO
SONDRIO;CHIURO
CREMONA;CICOGNOLO
PAVIA;CIGOGNOLA
BRESCIA;CIGOLE
PAVIA;CILAVEGNA
BRESCIA;CIMBERGO
CREMONA;CINGIA DE' BOTTI
MILANO;CINISELLO BALSAMO
SONDRIO;CINO
COMO;CIRIMIDO
BERGAMO;CISANO BERGAMASCO
BERGAMO;CISERANO
VARESE;CISLAGO
MILANO;CISLIANO
VARESE;CITTIGLIO
LECCO;CIVATE
BERGAMO;CIVIDATE AL PIANO
BRESCIA;CIVIDATE CAMUNO
SONDRIO;CIVO
COMO;CLAINO CON OSTENO
VARESE;CLIVIO
BERGAMO;CLUSONE
BRESCIA;COCCAGLIO
VARESE;COCQUIO-TREVISAGO
PAVIA;CODEVILLA
LODI;CODOGNO
MONZA E BRIANZA;COGLIATE
BERGAMO;COLERE
LECCO;COLICO
LECCO;COLLE BRIANZA
BRESCIA;COLLEBEATO
BRESCIA;COLLIO
BRESCIA;COLOGNE
BERGAMO;COLOGNO AL SERIO
MILANO;COLOGNO MONZESE
COMO;COLONNO
SONDRIO;COLORINA
MILANO;COLTURANO
COMO;COLVERDE
BERGAMO;COLZATE
VARESE;COMABBIO
LODI;COMAZZO
VARESE;COMERIO
BRESCIA;COMEZZANO-CIZZAGO
MANTOVA;COMMESSAGGIO
COMO;COMO
BERGAMO;COMUN NUOVO
BRESCIA;CONCESIO
MONZA E BRIANZA;CONCOREZZO
PAVIA;CONFIENZA
PAVIA;COPIANO
PAVIA;CORANA
MILANO;CORBETTA
MILANO;CORMANO
BERGAMO;CORNA IMAGNA
BERGAMO;CORNALBA
PAVIA;CORNALE
MILANO;CORNAREDO
MONZA E BRIANZA;CORNATE D'ADDA
LODI;CORNEGLIANO LAUDENSE
LODI;CORNO GIOVINE
LODI;CORNOVECCHIO
MONZA E BRIANZA;CORREZZANA
COMO;CORRIDO
MILANO;CORSICO
CREMONA;CORTE DE' CORTESI CON CIGNONE
CREMONA;CORTE DE' FRATI
BRESCIA;CORTE FRANCA
LODI;CORTE PALASIO
BRESCIA;CORTENO GOLGI
LECCO;CORTENOVA
BERGAMO;CORTENUOVA
PAVIA;CORTEOLONA
PAVIA;CORVINO SAN QUIRICO
BRESCIA;CORZANO
SONDRIO;COSIO VALTELLINO
PAVIA;COSTA DE' NOBILI
BERGAMO;COSTA DI MEZZATE
LECCO;COSTA MASNAGA
BERGAMO;COSTA SERINA
BERGAMO;COSTA VALLE IMAGNA
BERGAMO;COSTA VOLPINO
BERGAMO;COVO
PAVIA;COZZO
LECCO;CRANDOLA VALSASSINA
BERGAMO;CREDARO
CREMONA;CREDERA RUBBIANO
CREMONA;CREMA
LECCO;CREMELLA
VARESE;CREMENAGA
LECCO;CREMENO
COMO;CREMIA
CREMONA;CREMONA
CREMONA;CREMOSANO
LODI;CRESPIATICA
VARESE;CROSIO DELLA VALLE
CREMONA;CROTTA D'ADDA
VARESE;CUASSO AL MONTE
COMO;CUCCIAGO
MILANO;CUGGIONO
VARESE;CUGLIATE-FABIASCO
CREMONA;CUMIGNANO SUL NAVIGLIO
VARESE;CUNARDO
PAVIA;CURA CARPIGNANO
VARESE;CURIGLIA CON MONTEVIASCO
BERGAMO;CURNO
MANTOVA;CURTATONE
MILANO;CUSAGO
MILANO;CUSANO MILANINO
COMO;CUSINO
BERGAMO;CUSIO
VARESE;CUVEGLIO
VARESE;CUVIO
MILANO;DAIRAGO
BERGAMO;DALMINE
BRESCIA;DARFO BOARIO TERME
VARESE;DAVERIO
SONDRIO;DAZIO
SONDRIO;DELEBIO
BRESCIA;DELLO
CREMONA;DEROVERE
LECCO;DERVIO
BRESCIA;DESENZANO DEL GARDA
MONZA E BRIANZA;DESIO
COMO;DIZZASCO
LECCO;DOLZAGO
COMO;DOMASO
COMO;DONGO
LECCO;DORIO
PAVIA;DORNO
MANTOVA;DOSOLO
BERGAMO;DOSSENA
COMO;DOSSO DEL LIRO
CREMONA;DOVERA
MILANO;DRESANO
CREMONA;DRIZZONA
SONDRIO;DUBINO
VARESE;DUMENZA
VARESE;DUNO
BRESCIA;EDOLO
LECCO;ELLO
BERGAMO;ENDINE GAIANO
BERGAMO;ENTRATICO
COMO;ERBA
BRESCIA;ERBUSCO
LECCO;ERVE
BRESCIA;ESINE
LECCO;ESINO LARIO
COMO;EUPILIO
SONDRIO;FAEDO VALTELLINO
COMO;FAGGETO LARIO
VARESE;FAGNANO OLONA
COMO;FALOPPIO
