ANNO;PROV;COMUNE;TOT_INC;TOT_INC_MORTALI;TOT_FERITI;TOT_MORTI;TOT_VEIC_COINVOLTI;TOT_VEIC_CONDUC_IGNOTO;TOT_CONDUC;CONDUC_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_ETA_0-14_INC;CONDUC_ETA_15-19_INC;CONDUC_ETA_20-64_INC;CONDUC_ETA_65+_INC;CONDUC_ETA_0-14_FERITI;CONDUC_ETA_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETA_65+_FERITI;CONDUC_ETA_0-14_MORTI;CONDUC_ETA_15-19_MORTI;CONDUC_ETA_20-64_MORTI;CONDUC_ETA_65+_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_INC;STRADE_EXTRAURB_FERITI;STRADE_EXTRAURB_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_ISOLATI;WEEKEND_INC;FERIALI_INC;NOTTE_INC;GIORNO_INC;ORE_07-09_INC;ORE_17-19_INC;SERENO_INC;NEBBIA_INC;PIOGGIA-NEVE_INC;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);VEIC_COINVOLTI_AUTOCAR_E_SIMILI;VEIC_COINVOLTI_MOTOCICLI;VEIC_COINVOLTI_VELOCIPEDI
2000;MANTOVA;PONTI SUL MINCIO;9;0;12;0;16;0;16;6;9;7;0;0;2;13;1;0;2;6;1;0;0;0;0;1;0;2;0;2;4;0;6;6;0;0;0;0;4;1;4;3;6;2;7;2;0;5;0;2;12;0;3;0
2000;MANTOVA;PORTO MANTOVANO;48;3;59;3;91;0;91;32;49;40;0;2;8;74;5;2;6;39;2;0;0;2;0;10;1;0;0;35;41;1;13;18;2;0;0;0;38;0;10;15;33;4;44;6;13;26;2;9;63;7;17;4
2000;MANTOVA;QUINGENTOLE;5;2;4;2;8;0;8;0;3;3;0;0;0;7;1;0;0;3;0;0;0;1;1;1;0;0;0;2;2;0;2;2;1;0;0;0;1;0;4;1;4;1;4;0;2;1;0;3;5;1;2;0
2000;MANTOVA;QUISTELLO;19;1;25;1;31;0;31;7;20;11;0;0;3;23;2;0;3;14;2;0;0;0;0;4;0;1;1;9;13;0;10;12;1;0;0;0;8;2;9;7;12;4;15;6;1;10;3;5;22;4;3;2
2000;MANTOVA;REDONDESCO;2;1;3;1;4;0;4;1;2;1;0;0;1;3;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;2;3;1;0;0;0;1;0;1;1;1;1;1;1;0;2;0;0;1;3;0;0
2000;MANTOVA;REVERE;8;0;11;0;15;0;15;5;7;8;0;0;0;12;3;0;0;5;2;0;0;0;0;4;0;0;0;6;9;0;2;2;0;0;0;0;7;0;1;0;8;0;8;1;1;7;0;0;8;2;2;3
2000;MANTOVA;RIVAROLO MANTOVANO;9;0;13;0;15;0;15;6;12;3;0;0;4;10;0;0;3;8;0;0;0;0;0;1;0;0;0;3;4;0;6;9;0;0;0;0;6;0;3;5;4;2;7;1;3;5;0;2;12;0;2;0
2000;MANTOVA;RODIGO;12;0;19;0;22;0;22;8;14;8;0;0;0;18;1;0;0;12;1;0;0;0;0;5;0;0;0;5;7;0;7;12;0;0;0;0;9;0;3;2;10;1;11;0;3;6;2;3;16;2;3;0
2000;MANTOVA;RONCOFERRARO;21;0;33;0;40;0;40;12;22;18;0;1;4;31;3;1;2;16;2;0;0;0;0;10;0;1;0;14;20;0;7;13;0;0;0;0;16;1;4;4;17;3;18;3;3;15;2;3;30;4;3;3
2000;MANTOVA;ROVERBELLA;33;1;53;1;50;0;49;8;33;15;1;0;2;45;2;0;1;30;2;0;0;1;0;19;0;1;0;9;17;0;13;23;0;11;13;1;16;1;16;13;20;15;18;4;5;20;1;4;38;7;1;2
