ANNO_INCIDENTE;PROV;COD_COM;COMUNE;TOT_INC;DI_CUI_INC_MORTALI;TOT_FERITI;TOT_MORTI;VEIC_COINVOLTI_(IDENTIFICATO_CONDUCENTE);DI_CUI_ALTRI_VEIC_COINVOLTI;CONDUC_TOTALI;DI_CUI_CONDUC_FEMMINE;PASSEGGERI_INFORTUNATI;DI_CUI_PASSEGGERI_INFORTUNATI_FEMMINE;PEDONI_INFORTUNATI;DI_CUI_PEDONI_INFORTUNATI_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_MORTI_ENTRO30gg;CONDUC_ETÀ_0-14_INC;CONDUC_ETÀ_15-19_INC;CONDUC_ETÀ_20-64_INC;CONDUC_ETÀ_65_E_OLTRE_INC;CONDUC_ETÀ_0-14_FERITI;CONDUC_ETÀ_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETÀ_65_E_OLTRE_FERITI;CONDUC_ETÀ_0-14_MORTI;CONDUC_ETÀ_15-19_MORTI;CONDUC_ETÀ_20-64_MORTI;CONDUC_ETÀ_65_E_OLTRE_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;ALTRI_VEIC_FERITI;ALTRI_VEIC_MORTI;INTERSEZIONE_INC;INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI_ENTRO24h;NON_INTERSEZIONE_INC;NON_INTERSEZIONE_FERITI;NON_INTERSEZIONE_MORTI__ENTRO30gg;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_(NO_AUTOSTR)_INC;STRADE_EXTRAURB_(NO_AUTOSTR)_FERITI;STRADE_EXTRAURB_(NO_AUTOSTR)_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_IN_MARCIA_FERITI;INC_TRA_VEIC_IN_MARCIA_MORTI;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_E_PEDONE_FERITI;INC_TRA_VEIC_E_PEDONE_MORTI;INC_TRA_VEIC_ISOLATI;INC_TRA_VEIC_ISOLATI_FERITI;INC_TRA_VEIC_ISOLATI_MORTI;WEEKEND_INC;WEEKEND_FERITI;WEEKEND_MORTI;FERIALI_INC;FERIALI_FERITI;FERIALI_MORTI;NOTTE_INC;NOTTE_FERITI;NOTTE_MORTI;GIORNO_INC;GIORNO_FERITI;GIORNO_MORTI;ORE_DI_PUNTA_07-09_INC;ORE_DI_PUNTA_07-09_FERITI;ORE_DI_PUNTA_07-09_MORTI;ORE_DI_PUNTA_17-19_INC;ORE_DI_PUNTA_17-19_FERITI;ORE_DI_PUNTA_17-19_MORTI;SERENO_INC;SERENO_FERITI;SERENO_MORTI;NEBBIA_INC;NEBBIA_FERITI;NEBBIA_MORTI;PIOGGIA-NEVE_INC;PIOGGIA-NEVE_FERITI;PIOGGIA-NEVE_MORTI;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);AUTOVET_(PRIV_E_PUB)_FERITI;AUTOVET_(PRIV_E_PUB)_MORTI;VEIC_COINVOLTI_AUTOCAR_E_SIMILI;AUTOCAR_E_SIMILI_FERITI;AUTOCAR_E_SIMILI_MORTI;VEIC_COINVOLTI_MOTOCICLI;MOTOCICLI_FERITI;MOTOCICLI_MORTI;VEIC_COINVOLTI_VELOCIPEDI;VELOCIPEDI_FERITI;VELOCIPEDI_MORTI
2000;BRESCIA;17010;BAGOLINO;3;;5;0;6;1;5;0;1;0;0;0;4;1;0;0;0;1;4;0;0;1;3;0;0;0;0;0;1;0;0;0;0;0;2;4;0;1;1;0;1;1;0;2;4;0;;;;1;3;0;0;0;0;2;2;0;2;2;0;1;3;0;;;;3;5;0;0;0;0;0;0;0;1;1;0;0;0;0;1;3;0;;;;1;3;0;3;1;0;;;
2000;BRESCIA;17011;BARBARIGA;1;;2;0;2;;2;0;1;0;0;0;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;;;;;;;1;2;0;;;;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;;;;1;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;2;2;0;;;;0;0;0;;;
2000;BRESCIA;17012;BARGHE;16;1;30;1;32;;32;7;12;8;0;0;18;13;0;1;1;0;29;2;1;0;15;2;0;0;1;0;12;0;0;0;0;0;9;17;1;7;13;0;8;10;0;8;20;1;;;;13;25;1;0;0;0;3;5;0;10;23;1;6;7;0;3;5;0;13;25;1;0;0;0;7;13;1;13;27;1;0;0;0;2;2;0;19;24;0;1;;;9;6;1;2;;
2000;BRESCIA;17013;BASSANO BRESCIANO;6;;6;0;9;;9;1;0;0;1;0;5;4;0;0;0;1;8;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;5;5;0;1;1;0;2;2;0;;;;4;4;0;2;2;0;1;1;0;3;3;0;1;1;0;5;5;0;;;;6;6;0;2;2;0;1;1;0;6;6;0;0;0;0;0;0;0;8;6;0;1;;;0;0;0;;;
2000;BRESCIA;17014;BEDIZZOLE;38;;53;0;64;;64;15;13;3;3;2;37;27;0;0;3;10;46;3;2;8;25;1;0;0;0;0;13;0;3;0;0;0;23;33;0;15;20;0;24;32;0;14;21;0;;;;24;33;0;3;3;0;11;17;0;18;25;0;20;28;0;9;13;0;29;40;0;4;6;0;6;7;0;25;36;0;2;2;0;5;9;0;43;38;0;3;5;0;13;7;0;5;3;0
2000;BRESCIA;17015;BERLINGO;5;;10;0;11;;11;2;5;1;0;0;5;6;0;0;0;0;10;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;;;;5;10;0;3;6;0;2;4;0;;;;5;10;0;0;0;0;0;0;0;0;0;0;5;10;0;1;1;0;4;9;0;1;3;0;0;0;0;3;7;0;0;0;0;2;3;0;7;4;0;4;6;0;0;0;0;;;
2000;BRESCIA;17016;BERZO DEMO;4;2;7;2;7;;7;1;4;3;0;0;3;2;0;2;0;0;5;1;0;0;3;0;0;0;1;1;4;0;0;0;0;0;3;5;2;1;2;0;4;7;2;;;;;;;3;6;2;0;0;0;1;1;0;2;4;2;2;3;0;1;0;1;3;7;1;0;0;0;0;0;0;2;2;1;0;0;0;1;4;1;6;5;2;1;2;0;0;0;0;;;
2000;BRESCIA;17017;BERZO INFERIORE;4;;8;0;9;;9;4;2;1;0;0;6;3;0;0;0;0;8;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;3;7;0;1;1;0;4;8;0;;;;;;;4;8;0;0;0;0;0;0;0;1;1;0;3;7;0;;;;4;8;0;0;0;0;1;1;0;3;6;0;0;0;0;1;2;0;6;4;0;2;4;0;1;0;0;;;
2000;BRESCIA;17018;BIENNO;4;;7;0;10;;10;1;1;1;0;0;6;4;0;0;0;0;8;1;0;0;6;0;0;0;0;0;1;0;0;0;0;0;1;2;0;3;5;0;3;5;0;1;2;0;;;;4;7;0;0;0;0;0;0;0;3;6;0;1;1;0;;;;4;7;0;1;2;0;1;2;0;3;5;0;0;0;0;0;0;0;9;6;0;1;1;0;0;0;0;;;
2000;BRESCIA;17019;BIONE;5;;11;0;9;;9;1;2;0;0;0;9;0;0;0;0;0;7;1;0;0;7;1;0;0;0;0;2;0;0;0;0;0;5;11;0;;;;2;3;0;3;8;0;;;;4;10;0;0;0;0;1;1;0;3;7;0;2;4;0;;;;5;11;0;0;0;0;3;7;0;3;6;0;0;0;0;2;5;0;7;8;0;1;2;0;1;1;0;;;
2000;BRESCIA;17020;BORGO SAN GIACOMO;5;;7;0;8;;8;1;1;1;0;0;6;2;0;0;0;0;7;1;0;0;6;0;0;0;0;0;1;0;0;0;0;0;4;6;0;1;1;0;2;2;0;3;5;0;;;;3;5;0;0;0;0;2;2;0;2;2;0;3;5;0;2;2;0;3;5;0;0;0;0;1;2;0;2;3;0;0;0;0;3;4;0;6;6;0;2;1;0;0;0;0;;;
2000;BRESCIA;17021;BORGOSATOLLO;8;;12;0;14;;14;1;3;1;1;0;8;6;0;0;0;0;12;1;0;0;7;1;0;0;0;0;3;0;1;0;0;0;5;7;0;3;5;0;4;6;0;3;4;0;1;2;0;5;9;0;1;1;0;2;2;0;1;1;0;7;11;0;1;1;0;7;11;0;1;2;0;1;2;0;6;9;0;0;0;0;0;0;0;11;9;0;1;1;0;1;0;0;;;
2000;BRESCIA;17022;BORNO;1;;2;0;1;;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;0;;;;1;2;0;;;;;;;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0;;;;1;2;0;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;;;;;;;1;2;0;;;
2000;BRESCIA;17023;BOTTICINO;8;1;14;1;17;;17;2;4;3;0;0;10;6;0;1;0;1;13;2;0;1;7;2;0;0;1;0;4;0;0;0;0;0;6;8;1;2;6;0;8;14;1;;;;;;;8;14;1;0;0;0;0;0;0;1;2;0;7;12;1;3;7;0;5;7;1;0;0;0;2;1;1;8;14;1;0;0;0;0;0;0;13;14;1;;;;3;0;0;1;;
